T-grid
lon,lat
-7.50000,48.50000
-7.50000,48.55000
-7.50000,48.60000
-7.50000,48.65000
-7.50000,48.70000
-7.50000,48.75000
-7.50000,48.80000
-7.50000,48.85000
-7.50000,48.90000
-7.50000,48.95000
-7.50000,49.00000
-7.50000,49.05000
-7.50000,49.10000
-7.50000,49.15000
-7.50000,49.20000
-7.50000,49.25000
-7.50000,49.30000
-7.50000,49.35000
-7.50000,49.40000
-7.50000,49.45000
-7.50000,49.50000
-7.50000,49.55000
-7.50000,49.60000
-7.50000,49.65000
-7.50000,49.70000
-7.50000,49.75000
-7.50000,49.80000
-7.50000,49.85000
-7.50000,49.90000
-7.50000,49.95000
-7.50000,50.00000
-7.50000,50.05000
-7.50000,50.10000
-7.50000,50.15000
-7.50000,50.20000
-7.50000,50.25000
-7.50000,50.30000
-7.50000,50.35000
-7.50000,50.40000
-7.50000,50.45000
-7.50000,50.50000
-7.50000,50.55000
-7.50000,50.60000
-7.50000,50.65000
-7.50000,50.70000
-7.50000,50.75000
-7.50000,50.80000
-7.50000,50.85000
-7.50000,50.90000
-7.50000,50.95000
-7.50000,51.00000
-7.50000,51.05000
-7.50000,51.10000
-7.50000,51.15000
-7.50000,51.20000
-7.50000,51.25000
-7.50000,51.30000
-7.50000,51.35000
-7.50000,51.40000
-7.50000,51.45000
-7.50000,51.50000
-7.50000,51.55000
-7.50000,51.60000
-7.50000,51.65000
-7.50000,51.70000
-7.50000,51.75000
-7.50000,51.80000
-7.50000,51.85000
-7.50000,51.90000
-7.50000,51.95000
-7.50000,52.00000
-7.50000,52.05000
-7.50000,52.10000
-7.50000,55.30000
-7.50000,55.35000
-7.50000,55.40000
-7.50000,55.45000
-7.50000,55.50000
-7.50000,55.55000
-7.50000,55.60000
-7.50000,55.65000
-7.50000,55.70000
-7.50000,55.75000
-7.50000,55.80000
-7.50000,55.85000
-7.50000,55.90000
-7.50000,55.95000
-7.50000,56.00000
-7.50000,56.05000
-7.50000,56.10000
-7.50000,56.15000
-7.50000,56.20000
-7.50000,56.25000
-7.50000,56.30000
-7.50000,56.35000
-7.50000,56.40000
-7.50000,56.45000
-7.50000,56.50000
-7.50000,56.55000
-7.50000,56.60000
-7.50000,56.65000
-7.50000,56.70000
-7.50000,56.75000
-7.50000,56.80000
-7.50000,56.85000
-7.50000,56.90000
-6.22000,58.55000
-6.22000,58.60000
-6.22000,58.65000
-6.22000,58.70000
-6.22000,58.75000
-6.22000,58.80000
-6.22000,58.85000
-6.22000,58.90000
-6.22000,58.95000
-6.22000,59.00000
-6.22000,59.05000
-6.22000,59.10000
-6.22000,59.15000
-4.62000,59.20000
-4.62000,59.25000
-4.62000,59.30000
-4.62000,59.35000
-4.62000,59.40000
-4.62000,59.45000
-4.62000,59.50000
-4.62000,59.55000
-4.62000,59.60000
-4.62000,59.65000
-4.62000,59.70000
-4.62000,59.75000
-4.62000,59.80000
-6.14000,59.15000
-6.06000,59.15000
-5.98000,59.15000
-5.90000,59.15000
-5.82000,59.15000
-5.74000,59.15000
-5.66000,59.15000
-5.58000,59.15000
-5.50000,59.15000
-5.42000,59.15000
-5.34000,59.15000
-5.26000,59.15000
-5.18000,59.15000
-5.10000,59.15000
-5.02000,59.15000
-4.94000,59.15000
-4.86000,59.15000
-4.78000,59.15000
-4.70000,59.15000
-4.54000,59.80000
-4.46000,59.80000
-4.38000,59.80000
-4.30000,59.80000
-4.22000,59.80000
-4.14000,59.80000
-4.06000,59.80000
-3.98000,59.80000
-3.90000,59.80000
-3.82000,59.80000
-3.74000,59.80000
-3.66000,59.80000
-3.58000,59.80000
-3.50000,59.80000
-3.42000,59.80000
-3.34000,59.80000
-3.26000,59.80000
-3.18000,59.80000
-3.10000,59.80000
-3.02000,59.80000
-2.94000,59.80000
-2.86000,59.80000
-2.78000,59.80000
-2.70000,59.80000
-2.62000,59.80000
-2.54000,59.80000
-2.46000,59.80000
-2.38000,59.80000
-2.30000,59.80000
-2.22000,59.80000
-2.14000,59.80000
-2.06000,59.80000
-1.98000,59.80000
-1.90000,59.80000
-1.82000,59.80000
-1.74000,59.80000
-1.66000,59.80000
-1.58000,59.80000
-1.50000,59.80000
-1.42000,59.80000
-0.78000,60.80000
-0.70000,60.80000
-0.62000,60.80000
-0.54000,60.80000
